"","sample1_Tumor","sample2_Tumor","sample3_Tumor","sample4_Tumor","sample5_Tumor","sample1_Normal","sample2_Normal","sample3_Normal","sample4_Normal","sample5_Normal"
" Bilirubin","Tumor","Tumor","Tumor","Tumor","Tumor","Normal","Normal","Normal","Normal","Normal"
" Choline","9473.219507","9237.64882","9805.262532","7061.01379","9400.874982","8048.649281","9113.97973","6918.38686","9140.219595","72742.13936"
" 4-(Trimethylammonio)butanoate","6641.402805","327589.5303","7229.199318","4201.366548","8497.41112","33618.87669","8438.303209","7991.05418","8542.536343","9561.778718"
" (2S)-2-Hydroxybutanedioic acid","614540.6622","6597.780294","7549.538785","4892.380783","561537.3526","287798.0001","1990.949747","207415.1422","8412.375724","47594.20024"
" Methionine","40287.39148","14608.6341","21895.44205","3923.809164","8641.722797","9985.406371","69566.25507","7442.026232","2680.214768","8691.478183"
" 2'-Deoxyadenosine","46159.23981","35329.98831","23147.60668","19162.4142","79749.78594","17328.28941","15215.84164","23266.51385","5663.4375","51457.23954"
" L-Pyroglutamic acid","4851.213718","99515.10116","620101.2302","4645.919039","9072.232423","7829.529347","138832.9383","6420.136063","98354.19824","2935.102961"
" Biliverdine","2920.121756","2735.365203","8494.129521","45454.91637","6935.449436","9758.853643","4191.818412","4990.970826","5621.899301","5044.57313"
" S-adenosyl-L-homocysteine","40124.60099","889593.5845","20059.97269","8478.24973","15720.43458","27645.71907","13892.95684","5232.545027","4017.153892","31582.02114"
" 2,5-Dihydroxybenzoic acid","12053.06755","3672.427821","89549.56208","16160.49972","16160.49972","17260.51109","34805.85241","16160.49972","5111.672556","15018.07145"
" CID 790","9695.801829","29071.69781","5378.352077","9457.580401","25127.20971","54150.23636","61037.20566","6557.726828","9534.421442","9584.833037"
" (2-oxo-2,3-dihydro-1H-indol-3-yl)acetic acid","39831.11509","84837.92382","71789.92267","7511.296065","64263.56644","6284.110301","6715.347206","8722.033587","50113.4562","35408.55187"
" Tridecanoic acid","3244.379012","3852.014462","5641.362754","3113.965948","3524.115415","1278.199615","5970.662584","6332.333905","3113.965948","2733.377671"
" Tyramine","4439.343776","3313.072822","32319.55634","31392.77669","7032.465689","54222.38561","21486.07601","6757.592547","39709.51332","9247.663624"
" N-Acetyl-L-phenylalanine","26923.91982","101667.1012","176924.3064","119978.0636","9248.079226","231286.0318","36524.10694","37907.54221","17404.13995","211624.8543"
" Salicylic Acid","8658.510777","2014.885326","9073.204711","24616.31961","6258.761066","7002.03984","6452.820101","6546.021084","4112.474059","59290.30648"
" 4-Aminobenzoic acid","59119.59461","61090.45322","61118.73945","106474.9284","95236.00543","98865.84532","96350.59713","6061.522432","115774.0323","3275.154163"
" Linolenic Acid","5411.156024","9268.633582","25760.59904","9157.147084","14448.49866","23833.95597","9202.247399","4986.040233","8956.007712","9374.711873"
" 3-Hydroxybenzoic acid","6287.940839","6922.09079","6215.817735","6416.067171","8756.929599","64546.85371","36016.40118","3469.772003","161718.7862","9511.347395"
" Kaempferol","6563.712723","75244.76262","65086.40863","71092.69617","9614.310741","90881.3287","91713.79434","77784.24859","9568.514934","72805.53874"
" Dehydroepiandrosterone sulfate","6550.689483","26781.26741","13721.2006","35048.5893","21265.3818","27647.3247","43090.74181","31900.51758","22214.84927","7132.73642"
" Kynurenic acid","12837.5164","9947.72807","9036.242465","7798.095641","275272.7055","57075.3984","73477.08826","9755.560186","3245.62138","50032.19446"
" 1,7-Dimethyluric acid","6775.983115","7326.769776","15290.04918","92142.14146","3868.523116","219769.2772","155919.4637","1543.413827","4445.15806","4814.029942"
" (S)-3-hydroxylauric acid","20747.60651","5161.299713","5845.756484","5738.289826","68860.05383","136438.3191","5978.952408","9704.596541","98900.51835","18139.20865"
" Glutaric acid","330168.4244","33077.64768","16096.63943","9157.437984","31568.7128","32261.90227","59662.31233","31255.77772","80174.96166","24984.91797"
" Quinic acid","4399.982856","4399.982856","4399.982856","9584.444722","14715.02016","8967.437624","87203.81757","6994.792066","17710.98138","15068.87912"
" gamma-Glutamylcysteine","36088.29717","12409.84041","18608.4375","11865.8661","67718.55778","8078.93415","8451.423142","40958.11964","9310.466337","29103.19568"
" 2,3,4,6-Tetrahydroxy-5-oxohexanoic acid","5449.147711","9858.849974","3726632.227","96264.04137","745768.7929","646870.5484","506410.8053","84513.27899","8579.498673","49990.4085"
" Niacinamide","91581.04827","8435.712276","11426.8639","23480.72922","17124.54783","9299.802814","6181.416185","6125.906373","2947.32362","5543.917122"
" Arachidic Acid","23301.11647","29072.59221","52078.77816","42139.19973","7545.439131","16482.98527","8181.371199","68450.77347","13004.35208","92610.63947"
